Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
EURCAD;1139297886;Buy;0.03;13.11.2023 14:31:36;1.47497;13.11.2023 15:15:58;1.47559;5.58;5.58;0;
EURUSD;1139070871;Buy;0.03;13.11.2023 10:24:55;1.06952;13.11.2023 13:04:12;1.06802;-18.65;-18.65;0;
EURUSD;1139012372;Sell Limit;0.01;13.11.2023 09:31:38;1.06901;13.11.2023 10:14:40;1.06876;1.04;1.04;0;[T/P]
US500;1139022735;Sell Limit;0.01;13.11.2023 09:41:38;4418.2;13.11.2023 10:06:12;4418.2;0;0;0;[T/P]
US500;1138991333;Buy;0.01;13.11.2023 09:15:48;4415;13.11.2023 09:26:42;4416.7;3.52;3.52;0;
EURPLN;1138098747;Sell;0.02;10.11.2023 15:39:39;4.4228;13.11.2023 08:06:50;4.4329;-20.2;-20.11;0;
US500;1138578260;Buy;0.01;10.11.2023 21:39:35;4428;13.11.2023 00:02:57;4423;-10.34;-17.48;0;
US500;1138573779;Sell Limit;0.01;10.11.2023 21:31:13;4428.1;10.11.2023 21:33:00;4427;2.28;2.28;0;[T/P]
US500;1138567400;Buy Limit;0.01;10.11.2023 21:20:52;4424.5;10.11.2023 21:26:10;4425.3;1.66;1.66;0;[T/P]
US500;1138564463;Sell;0.01;10.11.2023 21:17:42;4421.6;10.11.2023 21:20:47;4424.7;-6.42;-6.42;0;
US500;1138563516;Sell Limit;0.01;10.11.2023 21:15:29;4422.3;10.11.2023 21:16:20;4421.5;1.66;1.66;0;[T/P]
US500;1138558952;Buy;0.01;10.11.2023 21:05:25;4422.2;10.11.2023 21:14:29;4422.4;0.41;0.41;0;
US500;1138557445;Sell;0.01;10.11.2023 21:02:42;4422.3;10.11.2023 21:04:36;4422.2;0.21;0.21;0;
US500;1138552771;Buy;0.01;10.11.2023 20:53:02;4420.8;10.11.2023 21:02:05;4421.1;0.62;0.62;0;
US500;1138549068;Sell;0.01;10.11.2023 20:46:31;4421.9;10.11.2023 20:52:35;4421.3;1.24;1.24;0;
